Station ID,Station Name,Station Uncertainty (m)
02215,Pointe Howatson,0.200
02230,Bonaventure,0.180
02235,Paspebiac,0.161
02240,Saint-Godefroi,0.170
00225,Cape Capstan,0.480
02250,Port-Daniel-Gascons,0.155
02253,Gascons,0.146
02260,Newport,0.151
02269,Chandler,0.160
02279,Grande-Riviere,0.140
02285,Sainte-Therese-de-Gaspe,0.158
02290,Cap-d'Espoir,0.136
02295,L'Anse-a -Beaufils,0.144
02309,Mal-Bay,0.149
02310,Pointe Saint-Pierre,0.156
02314,L'Anse-a -Brillant,0.133
02319,Sandy Beach,0.159
02330,Riviere-au-Renard,0.162
02335,L'Anse-a -Valleau,0.182
02340,Cloridorme,0.199
00235,West Advocate,0.481
02350,Grande-Vallee,0.200
00236,Advocate,0.486
02360,Port-Menier,0.168
02375,Pointe du Sud-Ouest,0.164
00024,Eastport,0.269
00240,Cape d'Or,0.509
02415,Baie du Renard,0.145
00242,Spencers Island,0.510
00245,Port Greville,0.528
00247,Diligent River,0.579
02470,Mingan,0.173
02480,Havre-Saint-Pierre,0.160
02490,Baie-Johan-Beetz,0.159
00025,Fairhaven,0.347
00250,Cape Sharp,0.619
02510,Natashquan,0.147
02518,Kegaska,0.163
02530,Gethsemani,0.163
00255,Parrsboro,0.556
02550,Harrington Harbour,0.169
02554,Tete-a-la-Baleine,0.185
02556,Baie des Moutons,0.193
02558,La Tabatiere,0.190
02564,Saint-Augustin,0.165
02577,Vieux-Fort,0.174
02579,Riviere-Saint-Paul,0.167
02580,Ile des Esquimaux,0.165
02581,Baie Chevalier,0.173
02583,Middle Bay,0.171
02588,Blanc-Sablon,0.163
02590,Forteau Bay,0.141
02595,West St. Modeste,0.123
00260,Five Islands,0.669
02600,Red Bay,0.190
02633,Savage Cove,0.138
02635,Flowers Cove,0.149
02637,Anchor Point,0.141
02638,St. Barbe,0.173
02642,Shoal Cove West,0.168
02650,Port Saunders,0.266
02655,Port Aux Choix,0.163
02660,Cow Head,0.189
02670,Norris Cove,0.183
02680,Corner Brook,0.201
02685,Lark Harbour,0.170
02695,Fox Island,0.188
00270,Burntcoat Head,0.643
02710,Port Harmon,0.150
02720,St Georges,0.142
02725,Crabbes River,0.180
02750,Riviere-au-Tonnerre,0.197
02780,Sept-Iles,0.227
02790,Port-Cartier,0.226
00028,McMaster Island,0.338
02815,Baie-Trinite,0.273
00282,Hantsport,0.639
02826,Godbout,0.269
02840,Baie-Comeau,0.265
02880,Forestville,0.314
02883,Portneuf-sur-Mer,0.326
00029,Matthews Cove,0.331
00290,Cape Blomidon,0.633
02900,Les Escoumins,0.316
02920,Mont-Louis,0.226
02933,Petite-Tourelle,0.276
02935,Sainte-Anne-des-Monts,0.243
02940,Cap-Chat,0.243
02945,Le Gros Mechins,0.271
02955,Matane,0.295
02975,Pointe aux Cenelles,0.308
02980,Pointe-au-Pere,0.325
02985,Rimouski,0.326
02995,Le Bic,0.353
00030,Letite Harbour,0.361
00300,Scots Bay,0.529
03000,Ile Bicquette,0.347
03005,Trois-Pistoles,0.349
03030,Saint-Simeon,0.426
03045,Pointe-au-Pic,0.443
00305,Baxters Harbour,0.578
03052,Cap-aux-Oies,0.481
03057,Saint-Joseph-de-la-Rive,0.481
03058,Saint-Bernard-sur-Mer,0.497
03060,Cap-aux-Corbeaux,0.505
00312,Ile Haute,0.551
03120,Ile Verte,0.352
03122,L'Isle-Verte,0.393
03125,Gros-Cacouna,0.373
03130,Riviere-du-Loup,0.387
03140,Ile aux Lievres,0.394
03145,Le Petit Pelerin,0.492
00315,Margaretsville,0.469
03150,La Grande Ile,0.495
03160,Pointe-aux-Orignaux,0.465
03170,Saint-Jean-Port-Joli,0.422
00320,Parkers Cove,0.409
00324,Digby Ferry Wharf,0.377
00325,DIGBY,0.373
00033,Letang Harbour,0.332
00330,Culloden,0.375
00333,Grand Eddy,0.314
00334,Trout Cove,0.358
00335,Sandy Cove,0.325
00336,East Sandy Cove,0.289
00337,Tiverton,0.267
00338,Tiverton (Boars Head),0.308
00339,West Narrows,0.299
00340,Westport,0.276
03424,Baie-Sainte-Catherine,0.352
03425,Tadoussac,0.348
03440,L'Anse-Saint-Jean,0.465
00345,Lighthouse Cove,0.305
03460,Port-Alfred,0.388
03466,Grande-Anse,0.437
03480,Chicoutimi,0.336
00035,St. Stephen,0.332
00353,Church Point,0.276
00355,Meteghan,0.276
00360,Port Maitland,0.234
00365,Yarmouth,0.225
00366,Bunker Island Wharf,0.230
00367,Bunker Island Light,0.234
00368,Kellys Cove,0.227
00370,Pinkney Point,0.205
00374,Wedgeport,0.206
00375,Lower Wedgeport,0.191
03765,Alert,0.151
00378,Tusket,0.189
03780,Cape Sheridan,0.138
03785,Wrangel Bay,0.284
03790,Discovery Harbour,0.320
00380,Abrams River,0.189
00382,Abbotts Harbour,0.176
03838,Alexandra Fiord,0.880
03840,Pim Island,0.647
00385,Lower East Pubnico,0.179
00390,Woods Harbour,0.189
03916,Nova Zembla Island,0.290
03940,Clyde River,0.230
00395,Flat Island,0.205
03960,Cape Hooper,0.177
03970,Kivitoo,0.186
03995,Cape Dyer,0.425
00004,Cutler,0.204
00040,St. Andrews,0.363
00400,Seal Island,0.179
04029,Pangnirtung,1.145
04040,Clearwater Fiord,1.013
04045,Imigen Island,1.127
00405,Clarks Harbour,0.148
04070,Brevoort Harbour,0.952
00408,West Head,0.175
00041,Long Island,0.341
00410,Swims Point,0.164
04100,Resor Island,1.627
04120,Frobisher's Farthest,1.689
04135,Lewis Bay,1.522
04140,Iqaluit,1.744
00415,Barrington Passage,0.294
04160,Sorry Harbour,0.501
04170,Acadia Cove,0.625
00042,Blacks Harbour,0.331
00420,Upper Port la Tour,0.342
04205,Kimmirut,1.731
04215,Ashe Inlet,1.717
00423,Ingomar,0.296
04245,Kinngait,0.784
00425,Shelburne,0.387
04255,Schooner Harbour,0.592
00426,Sandy Point,0.323
04265,Port Burwell,0.478
04275,Beacon Island,0.960
04279,Kangiqsualujjuaq,1.004
04294,Riviere Koksoak est,1.017
04295,Riviere Koksoak,0.983
04296,The Narrows,0.796
04297,Ile Mackays,0.484
04298,Kuujjuaq,0.435
00430,Lockeport,0.380
04315,Tasiujaq,1.307
04325,Hopes Advance Bay,1.051
04335,Agvik Island,0.975
04340,Ile Pikiyulik,0.755
04345,Ile Basking,0.809
00435,Port Mouton,0.320
04379,Quaqtaq,1.555
00044,Beaver Harbour,0.357
00440,Liverpool,0.376
04400,Stupart Bay,1.419
04415,Doctor Island,1.372
04425,Kangiqsujuaq,1.236
04435,Douglas Harbour,1.272
04460,Deception Bay,0.519
04470,Salluit,0.511
04480,Digges Harbour,0.336
04490,Port De Laperriere,0.241
00450,Bridgewater,0.364
04500,Port De Boucherville,0.423
00452,Riverport,0.438
04538,Akulivik,0.094
04548,North Kopak Island,0.081
00455,Lunenburg,0.278
04575,Inukjuak,0.100
04597,Gillies Island,0.166
00046,West Dipper Harbour,0.327
00460,Mahone Harbour,0.328
04600,Tukarak Island,0.118
04604,Belanger Island,0.185
04610,Innetalling Island,0.170
04628,Sanikiluaq,0.154
04645,Kuujjuarapik,0.194
04648,Bear Island,0.209
00465,Chester,0.336
04655,Long Island,0.211
04662,Roggan River,0.189
04680,La Grande Riviere,0.208
04681,Loon Island,0.237
04688,Hook Island,0.144
04710,Eastmain River,0.138
04720,Strutton Islands,0.180
00473,Owls Head,0.267
04730,Charlton Island,0.337
