Station ID,Station Name,Station Uncertainty (m)
09344,Morse Basin,0.195
09346,Prince Rupert RoRo,0.298
09348,Fairview Terminal,0.302
00935,Harbour Grace,0.127
09350,Casey Cove,0.343
09354,Prince Rupert,0.302
09360,Seal Cove,0.296
09390,Lax Kw'alaams,0.302
09406,Trail Bay,0.297
09414,Kumeon Bay,0.294
09418,Ranger Islet,0.318
09422,Gingolx,0.310
09425,Mill Bay,0.277
09435,Salmon Cove,0.299
09443,Granby Bay,0.311
09448,Alice Arm,0.335
09475,Stewart,0.309
09502,Cape St. James,0.220
09512,Gordon Islands,0.207
00955,Hearts Content,0.138
09570,Hunger Harbour,0.213
09605,Armentiere Channel,0.223
00962,Long Cove,0.242
09625,Trounce Inlet,0.186
09627,Trounce Inlet North,0.185
09635,Dawson Harbour,0.200
09650,Shields Bay,0.230
09667,Nesto Inlet,0.206
09671,Port Louis,0.228
00097,Hatfield Point,0.134
00970,Long Beach,0.123
09708,Heater Harbour,0.216
09710,High Island,0.240
09713,Rose Harbour,0.210
09717,Carpenter Bay,0.223
09724,Copper Islands,0.226
00973,Hickmans Harbour,0.126
00975,Clarenville,0.139
09753,Sedgwick Bay,0.249
09765,Atli Inlet,0.253
00977,Clifton,0.187
09775,Pacofi Bay,0.273
09790,McCoy Cove,0.289
09795,Sandspit Marina,0.335
00098,Evandale,0.131
09808,Shingle Bay,0.326
00981,Trinity,0.123
00985,Port Union,0.126
09850,Daajing Giids,0.312
09860,Tlell,0.325
00990,Bonavista,0.119
09910,Masset,0.172
09920,Port Clements,0.124
09927,Juskatla Inlet,0.093
09940,Wiah Point,0.254
09958,Henslung Cove,0.217
09961,Egeria Bay,0.250
09963,McPherson Pt.,0.220
09964,Langara Point,0.223
